T1 P1 D5.500000 Z+187.201700 ;bohrer 
T2 P2 D1.000000 Z+131.770000 ;senker 
T3 P3 D8.000000 Z+137.450000 ;fräser 8/25 
T4 P4 D6.000000 Z+127.043300 ;fräser 6/22 
T5 P5 D3.000000 Z+126.546700 ;fräser 3 
T6 P6 Z+175.761000 ;heimer 
T7 P7 D2.500000 Z+157.176700 ;bohrer 
T8 P8 D4.200000 Z+142.795000 ;bohrer 
T9 P9 D6.000000 Z+122.916700 ;fräser 2s 
T10 P10 D6.000000 Z+128.445000 ;fräser dlc 6/5 
T11 P11 D3.500000 Z+160.490000 ;bohrer 
T12 P12 Z+123.850000 ;fasenf 45° 
T13 P13 D16.000000 Z+134.605000 ;fräser 
T14 P14 D77.000000 Z+106.633300 ;messerkopf gross 
T15 P15 D12.000000 Z+139.305000 ;fräser hss 
T16 P16 Z+99.333333 ;added 20181225 
T17 P17 ;added 20181225 
T18 P18 ;added 20181225 
T19 P19 ;added 20181225 
T20 P20 Z+240.385500 ;added 20181225 
T21 P21 ;added 20181225 
T22 P22 Z+13.500600 ;added 20181225 
T23 P23 Z-85.673000 ;added 20190120 
T26 P26 Z-38.284800 ;added 20190120 
T27 P27 D3.000000 Z-37.883700 ;added 20190121 
